"title","rank","date","artist","url","region","chart","trend","streams"
"Salimo de Noche",1,"2021-11-01","Tiago PZK, Trueno","https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M","Argentina","top200","SAME_POSITION",351521
"Easy On Me",1,"2021-11-01","Adele","https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX","Australia","top200","SAME_POSITION",257755
"Shivers",1,"2021-11-01","Ed Sheeran","https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5","Austria","top200","SAME_POSITION",28426
"Pepas",1,"2021-11-01","Farruko","https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni","Belgium","top200","SAME_POSITION",63216
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",1,"2021-11-01","Tainy","https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB","Bolivia","top200","MOVE_UP",19271
"Coração Cachorro",1,"2021-11-01","Avine Vinny, Matheus Fernandes","https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE","Brazil","top200","SAME_POSITION",945090
"INDUSTRY BABY (feat. Jack Harlow)",1,"2021-11-01","Lil Nas X","https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk","Bulgaria","top200","SAME_POSITION",4879
"Easy On Me",1,"2021-11-01","Adele","https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX","Canada","top200","MOVE_UP",240519
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",1,"2021-11-01","Tainy","https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB","Chile","top200","SAME_POSITION",252221
"VACAXIONES",1,"2021-11-01","Feid","https://open.spotify.com/track/6DdC4I8ENm7zHH9Jy9pFg4","Colombia","top200","SAME_POSITION",119425
"Amarrau",1,"2021-11-01","KAVVO","https://open.spotify.com/track/110wE8SC4g65RkoyhpNy1T","Costa Rica","top200","SAME_POSITION",28021
"Praha/Vídeň",1,"2021-11-01","Calin","https://open.spotify.com/track/4OV1SH5qwYImh0tm04x5LD","Czech Republic","top200","SAME_POSITION",34888
