"artist","n"
"Olivia Rodrigo",82209
"The Weeknd",63092
"Bad Bunny",57941
"Dua Lipa",54803
"Justin Bieber",52785
"Doja Cat",52333
"BTS",51251
"Billie Eilish",46404
"Ed Sheeran",43208
"Lil Nas X",39329
"Måneskin",35049
"Pop Smoke",32997
"Harry Styles",29720
"Ariana Grande",29203
"Drake",28931
"The Kid LAROI",25414
"Lewis Capaldi",25077
"Rauw Alejandro",24657
"Juice WRLD",22142
"Taylor Swift",19502
"The Neighbourhood",18375
"Adele",17562
"24kGoldn",17180
"Bruno Mars, Anderson .Paak, Silk Sonic",16569
"Travis Scott",16332
"Camilo",16229
"Masked Wolf",15780
"Christian Nodal",15486
"KAROL G",15068
"Tones And I",14872
"Imagine Dragons",14821
"Maluma",14785
"Maroon 5",14635
"Kanye West",14218
"Sech",13934
"Tiësto",13834
"Glass Animals",13306
"Cardi B",13220
"XXXTENTACION",12792
"Polo G",12759
"J. Cole",12080
"BLACKPINK",12043
"Eminem",11827
"Boza",11782
"Myke Towers",11681
"Internet Money",11634
"Tate McRae",11607
"Post Malone",11508
"Duncan Laurence",11480
"Farruko",10757
"DaBaby",10590
"Joel Corry",10425
"Riton, Nightcrawlers",10206
"Travis Scott, HVME",10136
"Shawn Mendes",9940
"SAINt JHN",9919
"Giveon",9805
"Kali Uchis",9741
"Ava Max",9706
"James Arthur",9686
"Miley Cyrus",9636
"OneRepublic",9396
"Bruno Mars",9242
"CKay",9192
"Arctic Monkeys",9081
"Bad Bunny, Jhay Cortez",9016
"ATB, Topic, A7S",8961
"MEDUZA",8821
"J Balvin",8770
"Avicii",8571
"CJ",8350
"Selena Gomez",8308
"Lady Gaga, Bradley Cooper",7792
"YOASOBI",7744
"Tom Odell",7676
"Conan Gray",7552
"IU",7352
"Justin Quiles",7325
"Paulo Londra",7315
"Marshmello",7282
"J Balvin, Bad Bunny",7137
"LISA",7037
"Jason Derulo",6689
"Topic, A7S",6678
"Fleetwood Mac",6640
"SZA",6627
"Coldplay",6579
"Shouse",6547
"Bad Bunny, ROSALÍA",6486
"Nathan Evans",6248
"Elton John, Dua Lipa",6182
"Myke Towers, Juhn",6098
"TWICE",6073
"Surf Curse",5935
"AURORA",5928
"Jawsh 685, Jason Derulo",5877
"Joel Corry, RAYE, David Guetta",5868
"Jay Wheeler, DJ Nelson, Myke Towers",5814
"Camilo, Evaluna Montaner",5726
"Ozuna, J Balvin, Chencho Corleone",5674
"Los Legendarios, Wisin, Jhay Cortez",5658
"Lil Tjay, 6LACK",5633
"Rauw Alejandro, Anuel AA",5598
"Vance Joy",5592
"Sebastian Yatra, Guaynaa",5571
"Oliver Tree",5523
"KAROL G, Nicki Minaj",5514
"Queen",5505
"Manuel Turizo, Rauw Alejandro, Myke Towers",5477
"Shawn Mendes, Camila Cabello",5458
"Bella Poarch",5431
