"title","n"
"Blinding Lights",21816
"Levitating (feat. DaBaby)",21608
"drivers license",19579
"Watermelon Sugar",18102
"MONTERO (Call Me By Your Name)",17014
"Save Your Tears",16889
"Mood (feat. iann dior)",16180
"Peaches (feat. Daniel Caesar & Giveon)",16037
"Astronaut In The Ocean",15659
"Kiss Me More (feat. SZA)",15626
"Don't Start Now",14897
"Someone You Loved",14665
"Dynamite",14515
"Save Your Tears (with Ariana Grande) (Remix)",13866
"The Business",13834
"Leave The Door Open",13731
"Sweater Weather",13554
"good 4 u",13526
"Heat Waves",13205
"Beggin'",12033
"deja vu",11720
"Arcade",11566
"Dance Monkey",11511
"positions",11403
"Lemonade (feat. Gunna, Don Toliver & NAV)",10950
"traitor",10549
"Bad Habits",10449
"you broke me first",10364
"Life Goes On",10208
"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",10206
"Goosebumps - Remix",10136
"STAY (with Justin Bieber)",10080
"WITHOUT YOU",10079
"Head & Heart (feat. MNEK)",10016
"Roses - Imanbek Remix",9914
"telepatía",9726
"Streets",9426
"INDUSTRY BABY (feat. Jack Harlow)",9127
"I WANNA BE YOUR SLAVE",9113
"DÁKITI",9016
"Your Love (9PM)",8959
"Heartbreak Anniversary",8924
"Hold On",8915
"Woman",8835
"Butter",8826
"Paradise (feat. Dermot Kennedy)",8821
"ROCKSTAR (feat. Roddy Ricch)",8614
"lovely (with Khalid)",8527
"Before You Go",8358
"Whoopty",8251
"Happier Than Ever",8119
"Shallow",7792
"Another Love",7676
"34+35",7615
"Anyone",7513
"Dior",7481
"Beautiful Mistakes (feat. Megan Thee Stallion)",7421
"Up",7188
"What You Know Bout Love",6820
"RAPSTAR",6792
"Prisoner (feat. Dua Lipa)",6709
"Breaking Me",6678
"HOLIDAY",6534
"LA NOCHE DE ANOCHE",6486
"Hecha Pa' Mi",6443
"Therefore I Am",6440
"Good Days",6432
"We're Good",6423
"For The Night (feat. Lil Baby & DaBaby)",6421
"Baila Conmigo (with Rauw Alejandro)",6415
"goosebumps",6415
"Memories",6401
"Hawái",6346
"Circles",6337
"Falling",6292
"happier",6222
"Cold Heart - PNAU Remix",6182
"Bandido",6160
"Perfect",6102
"Lucid Dreams",6066
"WAP (feat. Megan Thee Stallion)",6032
"Believer",6001
"Freaks",5937
"Pepas",5931
"Runaway",5922
"jealousy, jealousy",5898
"favorite crime",5896
"BICHOTA",5894
"BED",5872
"Need To Know",5819
"La Curiosidad",5814
"Shape of You",5740
"Heather",5737
"Una Locura",5674
"Todo De Ti",5661
"Fiel",5658
"Calling My Phone",5633
"Reloj",5598
"Chica Ideal",5571
"Lonely (with benny blanco)",5521
"Señorita",5520
"Tattoo - Remix with Camilo",5517
"Tusa",5514
"TE MUDASTE",5511
"Say You Won't Let Go",5503
"La Nota",5485
"Vida de Rico",5447
"Build a Bitch",5431
"Take My Breath",5342
"Riptide",5330
"Afterglow",5329
"HIGHEST IN THE ROOM",5287
"BEBÉ",5286
"Rasputin",5209
"Sunflower - Spider-Man: Into the Spider-Verse",5190
"Relación - Remix",5154
"Run",5122
"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix",5088
"CÓMO SE SIENTE - Remix",5087
"Leave Before You Love Me (with Jonas Brothers)",5026
"Take You Dancing",5015
"No Me Conoce - Remix",5010
"LA CANCIÓN",4953
"Without Me",4938
"Savage Love (Laxed - Siren Beat)",4932
"Cover Me In Sunshine",4921
"Ride It",4912
"MONEY",4910
"Best Friend (feat. Doja Cat)",4902
"Don't Go Yet",4895
"Talking to the Moon",4847
"My Head & My Heart",4839
"La Tóxica",4838
"Daddy Issues",4827
"Levitating",4818
"Callaita",4808
"Adore You",4806
"My Universe",4768
"Si Estuviésemos Juntos",4748
"Hasta Abajo",4740
"Holy (feat. Chance The Rapper)",4733
"UN DIA (ONE DAY) (Feat. Tainy)",4719
"love nwantiti (ah ah ah)",4708
"Shivers",4706
"Vete",4706
"Heartbreak Anthem (with David Guetta & Little Mix)",4696
"Si Veo a Tu Mamá",4688
"ZITTI E BUONI",4686
"Monster (Shawn Mendes & Justin Bieber)",4669
"No Te Enamores - Remix",4662
"A Tu Merced",4644
"Ella No Es Tuya - Remix",4644
"Hola - Remix",4598
"GIRL LIKE ME",4596
"911",4589
"La Forma en Que Me Miras",4573
"Permission to Dance",4544
"Goosebumps",4543
"La Santa",4538
"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix",4537
"EL MAKINON",4534
"Despeinada",4505
"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",4468
"You Right",4455
"bad guy",4452
"Me Rehúso",4446
"death bed (coffee for your head)",4434
"Aloha",4410
"HACIENDO QUE ME AMAS",4361
"The Nights",4355
"BOOKER T",4354
"The Real Slim Shady",4347
"In Da Getto",4339
"512",4335
"Pareja Del Año",4334
"2/Catorce",4321
"Mi Niña",4302
"willow",4290
"Don't Be Shy",4287
"Yonaguni",4260
"Ignorantes",4257
"Safaera",4246
"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",4243
"THATS WHAT I WANT",4211
"2055",4192
"2002",4176
"La Jeepeta - Remix",4169
"The Box",4159
"Parce (feat. Justin Quiles)",4145
"Smells Like Teen Spirit",4110
"Ay, DiOs Mío!",4089
"Wasted Love (feat. Lagique)",4080
"Qué Más Pues?",4033
"Jocelyn Flores",4023
"Take Me To Church",4018
"Ella",4014
"Love Tonight - Edit",3986
"Need to Know",3985
"Follow You",3974
"Wake Me Up",3929
"Quiéreme Mientras Se Pueda",3919
"Loco",3887
"At My Worst",3884
"AM",3880
"Godzilla (feat. Juice WRLD)",3877
"Little Bit of Love",3875
"Gangsta's Paradise",3858
"Do I Wanna Know?",3834
"Sal y Perrea",3824
"How You Like That",3819
"Get Into It (Yuh)",3814
"Snowman",3783
"Una Vez",3778
"Miénteme",3777
"Wants and Needs (feat. Lil Baby)",3768
"Train Wreck",3750
"Martin & Gina",3749
"Blueberry Faygo",3739
"If the World Was Ending - feat. Julia Michaels",3710
"Ain't Shit",3697
"Counting Stars",3697
"Me Fije",3686
"Explícito",3673
"No Role Modelz",3655
"LOCATION",3633
"Come & Go (with Marshmello)",3622
"Can't Hold Us - feat. Ray Dalton",3606
"Way 2 Sexy (with Future & Young Thug)",3604
"Stuck with U (with Justin Bieber)",3601
"Polvo",3593
"Robbery",3577
"brutal",3560
"La Difícil",3560
"Love Again",3541
"Boy With Luv (feat. Halsey)",3535
"All of Me",3524
"Be Alright",3520
"Saturno",3498
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",3479
"Yellow",3478
"Tal Vez",3462
"Toda Remix - Remix",3443
"Easy On Me",3438
"Ram Pam Pam",3415
"Your Power",3407
"Botella Tras Botella",3401
"Machu Picchu",3387
"10,000 Hours (with Justin Bieber)",3385
"Pa' Olvidarme De Ella",3383
"Fan de Tus Fotos",3372
"Why'd You Only Call Me When You're High?",3372
"Jeans",3322
"Fair Trade (with Travis Scott)",3321
"Canción Bonita",3296
"Wishing Well",3292
"Golden",3272
"En Tu Cuerpo - Remix",3252
"Ponte Pa' Mi",3242
"Every Breath You Take",3238
"Hasta Que Dios Diga",3231
"Hello (feat. A Boogie Wit da Hoodie)",3228
"Más De La Una",3209
"Bohemian Rhapsody - Remastered 2011",3206
"Te Vi",3183
"Lamento Boliviano",3180
"Mi Cuarto",3161
"Se Te Nota (with Guaynaa)",3158
"Dreams - 2004 Remaster",3145
"AM Remix",3137
"All We Got (feat. KIDDO)",3115
"OUT OUT (feat. Charli XCX & Saweetie)",3112
"Fuentes de Ortiz",3109
"Where Are You Now",3103
"Laugh Now Cry Later (feat. Lil Durk)",3099
"Life Is Good (feat. Drake)",3098
"Meet Me At Our Spot",3067
"Bonita",3050
"SICKO MODE",3025
"Love Not War (The Tampa Beat)",3015
"Poblado - Remix",3008
"Toxic",2998
"Travesuras - Remix",2989
"Tiroteo - Remix",2982
"On The Ground",2976
"Dinero",2966
"Fiel - Remix",2961
"Fly Away",2943
"Aquí Abajo",2940
"China",2940
"Favorito",2936
"Mala Costumbre",2935
"Yo Perreo Sola",2927
"Vámonos a Marte",2920
"Break My Heart",2892
"Sigues Con El",2874
"Hurricane",2838
"Sobrio",2836
"I Like Me Better",2826
"Volando - Remix",2804
"Motley Crew",2784
"Azul",2777
"Si Me Dices Que Sí",2775
"Caraluna",2755
"Someone To You",2755
"Star Shopping",2754
"De Los Besos Que Te Di",2749
"Sexo Virtual",2745
"Rojo",2741
"Miss The Rage (feat. Playboi Carti)",2738
"Mood Swings (feat. Lil Tjay)",2735
"Mr. Brightside",2704
"Nena Maldición (feat. Lenny Tavárez)",2687
"Procura",2659
"Ghost",2657
"Closer",2643
"911 - Remix",2636
"Entre Nosotros",2610
"Caramelo",2604
"Lovesick Girls",2599
"Let Me Down Slowly",2597
"SAD!",2575
"Let Her Go",2572
"Kings & Queens",2565
"All Girls Are The Same",2564
"Millones",2559
"PROBLEMA",2558
"L-Gante: Bzrp Music Sessions, Vol.38",2541
"Volví",2538
"Si Se Da - Remix",2526
"Fulanito",2525
"Me Dediqué a Perderte",2520
"Tan Enamorados",2518
"Knife Talk (with 21 Savage ft. Project Pat)",2516
"Ropa Cara",2500
"Dile",2495
"Dark Red",2489
"SugarCrash!",2486
"Chosen (feat. Ty Dolla $ign)",2483
"Don't Stop Believin'",2474
"Tú Me Dejaste De Querer",2474
"Cúrame",2467
"Intentions (feat. Quavo)",2467
"No Te Contaron Mal",2442
"120",2438
"Lost Cause",2437
"Praise God",2431
"KESI - Remix",2415
"Love Tonight - David Guetta Remix Edit",2415
"Dime Cómo Quieres",2412
"Hope",2398
"Fantasias",2392
"edamame (feat. Rich Brian)",2387
"Like I Can",2381
"Ramenez la coupe à la maison",2380
"Iko Iko (My Bestie)",2379
"La Mitad",2375
"Si Te Veo",2372
"Devuélveme a mi chica",2371
"Diosa",2346
"Elegí (feat. Dímelo Flow)",2338
"Wonder",2334
"Algo Mágico",2327
"Bored",2317
"Body",2303
"Una Vaina Loca",2301
"comethru",2297
"Ella Y Yo - Featuring Don Omar",2291
"Hypnotized",2280
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",2280
"Moth To A Flame (with The Weeknd)",2276
"CANCIÓN CON YANDEL",2274
"What’s Next",2266
"Be Kind (with Halsey)",2252
"Summer of Love (Shawn Mendes & Tainy)",2250
"Caramelo - Remix",2249
"Just the Way You Are",2244
"ALMAS GEMELAS",2242
"PSL",2240
"Amor en Coma",2238
"Miedito o Qué? (feat. KAROL G)",2232
"Tú",2231
"Si Me Tomo Una Cerveza",2221
"Además de Mí - Remix",2218
"Persia - Remix",2203
"De Cora <3",2193
"Floating Through Space",2188
"QUE PRETENDES",2184
"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",2176
"Se Me Olvidó",2162
"Girls Want Girls (with Lil Baby)",2150
"Higher Power",2149
"SO DONE",2148
"Put Your Records On",2136
"LALISA",2131
"Film out",2130
"Agua de Jamaica",2119
"By Your Side (feat. Tom Grennan)",2119
"Rolling in the Deep",2115
"7 rings",2111
"In Your Eyes",2109
"Enemy (with JID) - from the series Arcane League of Legends",2108
"Jerusalema (feat. Nomcebo Zikode)",2107
"Lovefool",2093
"Hayloft",2088
"Perfecta",2069
"Nada",2059
"I GUESS I'M IN LOVE",2055
"The Hills",2051
"Thunder",2044
"You",2040
"ANTES QUE SE ACABE",2030
"200 COPAS",1990
"enough for you",1986
"Tan Bonita",1985
"It's You",1984
"Something Just Like This",1981
"my ex's best friend (with blackbear)",1977
"Dick (feat. Doja Cat)",1976
"'Till I Collapse",1972
"L-Gante Rkt",1969
"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",1953
"Tu Veneno",1943
"CORALINE",1940
"El Mismo Aire - con Pablo Alborán",1940
"Best Part (feat. Daniel Caesar)",1935
"夜に駆ける",1934
"Memories (feat. Kid Cudi)",1933
"Gone",1932
"Classic",1926
"hot girl bummer",1914
"NDA",1914
"Rain On Me (with Ariana Grande)",1908
"POPSTAR (feat. Drake)",1907
"Antes",1903
"Diles",1894
"Tell Em",1894
"Jangueo",1891
"Del Mar",1884
"Otra Noche en Miami",1884
"TODO O NADA",1878
"Adan y Eva",1875
"Happier Than Ever - Edit",1870
"UN PESO",1857
"Relación",1847
"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",1841
"In the End",1839
"A Mí",1837
"Beautiful People (feat. Khalid)",1835
"Otra Noche Sin Ti",1834
"Wrecked",1816
"El Efecto",1812
"Strawberries & Cigarettes",1807
"everything i wanted",1806
"Enchule",1798
"Poblado",1797
"Celebrity",1783
"Es un Secreto",1781
"Mamichula - con Nicki Nicole",1779
"Blank Space",1771
"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",1767
"double take",1759
"Next Level",1758
"Lose Control",1730
"EL BARCO",1726
"Bruises",1720
"Visiting Hours",1708
"Nicky Jam: Bzrp Music Sessions, Vol. 41",1707
"Psycho",1694
"Ice Cream (with Selena Gomez)",1692
"Photograph",1691
"Africa",1684
"Ley Seca",1683
"Desnudarte",1682
"Acapulco",1673
"family ties (with Kendrick Lamar)",1670
"Ahora Te Puedes Marchar",1661
"Soltera - Remix",1658
"La Botella",1653
"Nostálgico",1646
"This City",1635
"Pa' Que Retozen",1632
"La Mamá de la Mamá",1628
"Cabrón y Vago - En Vivo",1625
"La Luz",1622
"Summer Of '69",1622
"One Right Now (with The Weeknd)",1619
"Eladio Carrion: Bzrp Music Sessions, Vol. 40",1608
"Someone Like You",1607
"Alguien Más",1596
"Our Song",1594
"Rise Up (feat. Vamero)",1594
"Adiós Amor",1581
"eight(Prod.&Feat. SUGA of BTS)",1573
"Moonlight",1571
"As I Am (feat. Khalid)",1570
"Madrid (feat. Myke Towers)",1562
"Adicto (with Anuel AA & Ozuna)",1559
"Slumber Party (feat. Princess Nokia)",1552
"1 step forward, 3 steps back",1549
"La Incondicional",1549
"2:50 Remix",1544
"Una Nota",1539
"I CAN'T STOP ME",1537
"Cupid's Chokehold / Breakfast in America",1528
"Never Going Home",1526
"Dandelions",1517
"this is how you fall in love",1512
"She Knows (feat. Amber Coffman & Cults)",1505
"Mírame - Remix",1501
"Thot Shit",1499
"+Linda",1487
"I Don't Care (with Justin Bieber)",1478
"Aquel Nap ZzZz",1475
"De Museo",1470
"Another One Bites The Dust - Remastered 2011",1465
"Midnight Sky",1465
"LEYENDAS",1463
"Wao",1444
"Flaca",1439
"Girls Like Us",1431
"Christian Dior",1423
"Rampampam",1419
"YO VISTO ASÍ",1410
"Payphone",1409
"Por Primera Vez",1404
"Go Your Own Way - 2004 Remaster",1402
"Good Without",1400
"París",1391
"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",1390
"Pretty Savage",1390
"When We Were Young",1383
"Bésame",1382
"Bichiyal",1379
"Wonderwall - Remastered",1366
"I Gotta Feeling",1359
"In the morning",1355
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",1344
"505",1334
"Smokin Out The Window",1332
"OUT WEST (feat. Young Thug)",1329
"Lifestyle (feat. Adam Levine)",1327
"Do It To It",1323
"p r i d e . i s . t h e . d e v i l (with Lil Baby)",1320
"Fireworks (feat. Moss Kena & The Knocks)",1319
"Better Days (NEIKED x Mae Muller x Polo G)",1316
"ADMV",1311
"Go Crazy",1310
"Holiday",1309
"SEJODIOTO",1309
"Lasting Lover",1304
"Hasta Que Me Olvides",1303
"Too Good At Goodbyes",1303
"Overpass Graffiti",1301
"Dancing On My Own",1299
"Wildest Dreams (Taylor's Version)",1299
"El Efecto - Remix",1298
"Cosas Malas",1296
"Moon",1295
"Alcohol-Free",1294
"Tick Tock (feat. 24kGoldn)",1289
"Calabria (feat. Lujavo & Nito-Onna)",1288
"Latest Trends",1285
"Off The Grid",1283
"Copines",1275
"El Tóxico",1275
"love nwantiti (feat. ElGrande Toto) - North African Remix",1274
"La Old Skul",1273
"Desconocidos",1272
"Nace Un Borracho",1270
"Vete Pal Carajo",1269
"Night Changes",1265
"Malbec",1258
"A-O-K",1257
"The Woo (feat. 50 Cent & Roddy Ricch)",1257
"Blood // Water",1255
"I Got Love",1248
"July",1246
"We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song",1246
"Tutu",1243
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",1241
"Because You Move Me",1240
"Thinking out Loud",1237
"Blue & Grey",1232
"Here's Your Perfect",1226
"The Night We Met",1224
"Fragancia (with Jay Wheeler)",1223
"Bande organisée",1222
"Cheating on You",1219
"Fever",1218
"Yo Ya No Vuelvo Contigo - En Vivo",1217
"Jugaste y Sufrí",1215
"Deep End",1210
"Love Is Gone - Acoustic",1207
"FEEL ME??",1206
"Infinity",1204
"飞鸟和蝉",1202
"Euphoria",1194
"Marea (We’ve Lost Dancing)",1192
"One Dance",1190
"UN DIA (ONE DAY)",1189
"I Love You So",1182
